iter	RMSE
170	0.9797048792
171	0.9787139937
172	0.9774935177
173	0.975169411
174	0.9747154313
175	0.974075689
176	0.9728981216
177	0.9714540757
178	0.9706592852
179	0.9695865116
180	0.9682024016
181	0.9676283458
182	0.9672255207
183	0.9664341467
184	0.965872235
185	0.9647361735
186	0.9626949375
187	0.961929967
188	0.960970226
189	0.9601324362
190	0.9592581492
191	0.9582224544
192	0.9565547008
193	0.9554620882
194	0.9538986142
195	0.9536669783
196	0.9529228148
197	0.9519383674
198	0.9510154646
199	0.9494136798
200	0.9481448166
201	0.9467681123
202	0.9454869594
203	0.9440751816
204	0.9428344949
205	0.9411737024
206	0.9405296348
207	0.9396774975
208	0.9385903894
209	0.9377182451
210	0.9370827717
211	0.9355006397
212	0.9349609602
213	0.9341793641
214	0.9337290235
215	0.9335652492
216	0.9326253157
217	0.9307663476
218	0.9297132678
219	0.929326483
220	0.9289220075
221	0.9281192083
222	0.9278435262
223	0.9264916455
224	0.9250141384
225	0.9241549122
226	0.9231923782
227	0.92314555
228	0.9215795266
229	0.9214702447
230	0.9204285429
231	0.9201124915
232	0.9184637794
233	0.917451481
234	0.916274186
235	0.9149280292
236	0.914218103
237	0.9137404261
238	0.9129070813
239	0.9119522613
240	0.9109439815
241	0.9095772251
242	0.9089516518
243	0.9088952886
244	0.9076076186
245	0.906623133
246	0.9055969538
247	0.9049432362
248	0.9031839879
249	0.9025086158
250	0.9014374149
251	0.9009608286
252	0.8994592181
253	0.8976201224
254	0.8971198862
255	0.896708256
256	0.8958025657
257	0.8946963219
258	0.8933274799
259	0.8927495625
260	0.8919006052
261	0.8910585545
262	0.8905435962
263	0.8895456894
264	0.8886563774
265	0.8880863402
266	0.8875871448
267	0.8870420726
268	0.8865360116
269	0.8854255904
270	0.8846520729
271	0.8835330804
272	0.8829102471
273	0.8825258467
274	0.8816583957
275	0.880985026
276	0.879988366
277	0.8794105327
278	0.8785870573
279	0.8778639982
280	0.8769857661
281	0.8763320741
282	0.8750662572
283	0.8739610444
284	0.8730899408
285	0.8722785477
286	0.8713126306
287	0.8703949666
288	0.8682922918
289	0.8671171068
290	0.8660611025
291	0.8655234835
292	0.8643305387
293	0.8641061482
294	0.8635386989
295	0.8626240077
296	0.8619987583
297	0.8606468656
298	0.8587555676
299	0.8567786056
300	0.8562444305
301	0.8555954093
302	0.8551285887
303	0.8543569485
304	0.8533533096
305	0.8529695047
306	0.8518181906
307	0.8515866301
308	0.8509556619
309	0.8501756666
310	0.8490119699
311	0.8478860219
312	0.8471100567
313	0.8461377192
314	0.8451262668
315	0.8446176078
316	0.8433489884
317	0.842701805
318	0.8421874519
319	0.8417667633
320	0.8410727884
321	0.8395634167
322	0.8392940518
323	0.8380624133
324	0.8377950375
325	0.8364916848
326	0.836201348
327	0.835540292
328	0.8346412245
329	0.8331591485
330	0.8326320427
331	0.8320362464
332	0.8316636763
333	0.8306223185
334	0.8296470661
335	0.828993774
336	0.8277572602
337	0.8267483649
338	0.8260119363
339	0.8253755986
340	0.8247269715
341	0.8239171095
342	0.8231235397
343	0.8223197456
344	0.8212776354
345	0.8208961226
346	0.8198398345
347	0.8191914864
348	0.8189247459
349	0.8184103566
350	0.8178656921
351	0.8171894176
352	0.8163572839
353	0.8153645145
354	0.8141374114
355	0.8134436662
356	0.8127435012
357	0.8113555146
358	0.8112514611
359	0.8101766387
360	0.8096152525
361	0.8095693166
362	0.8085582115
363	0.8078688692
364	0.8073827264
365	0.8064547639
366	0.8062861492
367	0.8059274073
368	0.8051010561
369	0.8041492106
370	0.8029950875
371	0.8021509909
372	0.8015637975
373	0.8010607757
374	0.8003400521
375	0.7998277976
376	0.7991925143
377	0.7978715048
378	0.7969695956
379	0.7965008277
380	0.7958710535
381	0.7952149352
382	0.7945498336
383	0.7943057431
384	0.7935687053
385	0.792780205
386	0.7922494493
387	0.7913532838
388	0.7908757862
389	0.7900951907
390	0.7895101977
391	0.7890149428
392	0.7884899624
393	0.7883169999
394	0.7865142828
395	0.7858479985
396	0.7856148069
397	0.7849842593
398	0.7837277778
399	0.7830793966
400	0.7827893866
401	0.782443885
402	0.7812724353
403	0.7810209201
404	0.779380735
405	0.7789627512
406	0.77808923
407	0.777749499
408	0.7770210955
409	0.7760046139
410	0.7750728484
411	0.7746313591
412	0.7742787206
413	0.7741873348
414	0.7734879964
415	0.7724527794
416	0.7718832978
417	0.7714477985
418	0.7705390836
419	0.7699594847
420	0.7692186124
421	0.7683066171
422	0.7679691777
423	0.7671230141
424	0.7668591313
425	0.7659308018
426	0.7650376324
427	0.7642725419
428	0.7639975877
429	0.7631253896
430	0.7624854209
431	0.7619605256
432	0.7615904365
433	0.7614894172
434	0.7604789744
435	0.7597156216
436	0.7595661718
437	0.7584568269
438	0.757259822
439	0.7570185373
440	0.7561769749
441	0.755883784
442	0.7553041689
443	0.7549234382
444	0.7548675104
445	0.7544996104
446	0.7543628509
447	0.7537531699
448	0.7528781111
449	0.7520559674
450	0.7513225308
451	0.7507866296
452	0.7498821
453	0.7490623495
454	0.7486747709
455	0.7481567082
456	0.7476650524
457	0.746787397
458	0.7453843464
459	0.7440922211
460	0.7434464809
461	0.7431651047
462	0.7427538828
463	0.7422568396
464	0.7415975686
465	0.7406638497
466	0.7402637916
467	0.7395225382
468	0.7388839528
469	0.7384857559
470	0.7378970191
471	0.7366321686
472	0.7364354947
473	0.736128246
474	0.7353442932
475	0.7348632624
476	0.7341436933
477	0.7340808054
478	0.7335766219
479	0.7328456938
480	0.7325645369
481	0.7313824058
482	0.7303800475
483	0.7292347105
484	0.7284155469
485	0.7273469998
486	0.7264542103
487	0.7261869591
488	0.7256035212
489	0.7250940146
490	0.7241896006
491	0.7232913018
492	0.7231896659
493	0.7224060978
494	0.7216410289
495	0.7208281219
496	0.7198016787
497	0.719165657
498	0.7181365046
499	0.7177592079
500	0.7171498495
501	0.7162847791
502	0.7156530805
503	0.7150105698
504	0.7148427567
505	0.7139294978
506	0.7132080114
507	0.7127502142
508	0.712053191
509	0.7115281871
510	0.7107699102
511	0.7101669818
512	0.709895963
513	0.7093691037
514	0.7086282404
515	0.7075369676
516	0.7065480599
517	0.7057619318
518	0.7048134093
519	0.7046635631
520	0.7033952578
521	0.7029741419
522	0.7020967361
523	0.7015372417
524	0.7009677039
525	0.700633635
526	0.6997049764
527	0.6996318241
528	0.6992948012
529	0.6982033099
530	0.697449504
531	0.6973378434
532	0.6968262655
533	0.6965680715
534	0.6957480205
535	0.6956077706
536	0.6945514358
537	0.6938701408
538	0.6935580377
539	0.6931675125
540	0.6923493759
541	0.6920037673
542	0.6915058793
543	0.6911380229
544	0.6905944941
545	0.689917157
546	0.689167263
547	0.6889222667
548	0.6882167544
549	0.6879620917
550	0.6875521701
551	0.6870076702
552	0.6862922583
553	0.6859359367
554	0.6855440453
555	0.6846042536
556	0.684136347
557	0.6832725148
558	0.6830931875
559	0.6828338105
560	0.6822679696
561	0.682107849
562	0.6816206683
563	0.6813971197
564	0.6810593655
565	0.6803611958
566	0.6796162953
567	0.6791535668
568	0.6787145701
569	0.6783435821
570	0.6776316067
571	0.6774173264
572	0.677397444
573	0.6766247035
574	0.6760848328
575	0.67510705
576	0.67477021
577	0.6740903343
578	0.67380884
579	0.67316002
580	0.6724610993
581	0.6720052649
582	0.6716067076
583	0.6703268481
584	0.6694105032
585	0.6690916777
586	0.668798884
587	0.6685552914
588	0.6679487941
589	0.6677812478
590	0.6671644101
591	0.6663438992
592	0.6662105912
593	0.665927922
594	0.6657357931
595	0.6656071137
596	0.6648873862
597	0.664550427
598	0.6640506901
599	0.6637917097
600	0.6637466646
601	0.6633917152
602	0.6628060559
603	0.6621999257
604	0.6613702465
605	0.6612475937
606	0.660671858
607	0.6604391694
608	0.6598817459
609	0.6595695558
610	0.6588760078
611	0.6581227054
612	0.6575967221
613	0.6569293577
614	0.6567214151
615	0.6555724147
616	0.6551603564
617	0.6549317912
618	0.6547119253
619	0.6539980723
620	0.6531622088
621	0.6529086687
622	0.6522084738
623	0.6518852227
624	0.6516630127
625	0.6508016293
626	0.6503325891
627	0.6499443342
628	0.6496362928
629	0.6492656651
630	0.6486633279
631	0.648101332
632	0.6472090372
633	0.6467752773
634	0.6459575899
635	0.6457407672
636	0.6452416131
637	0.644810611
638	0.6443855157
639	0.6438764596
640	0.6431411058
641	0.6427176642
642	0.642173823
643	0.6413758307
644	0.6409786242
645	0.6403708007
646	0.6395377156
647	0.6384676088
648	0.6376532345
649	0.637077756
650	0.6363835788
651	0.6360383567
652	0.6357040472
653	0.6356815718
654	0.6349776645
655	0.6343027153
656	0.6338732736
657	0.6332102062
658	0.632837033
659	0.6324089442
660	0.631812952
661	0.6310165407
662	0.6306422906
663	0.6302036025
664	0.6299037977
665	0.6288674721
666	0.6282798165
667	0.6277945285
668	0.6276252515
669	0.6267506109
670	0.6261858188
671	0.6259099842
672	0.6254345976
673	0.6247517802
674	0.6239500292
675	0.6237366678
676	0.6236767499
677	0.6233793323
678	0.6228914656
679	0.6224233955
680	0.6217736919
681	0.6212659267
682	0.6203554773
683	0.6197791878
684	0.6187664063
685	0.6184656096
686	0.6176205315
687	0.6173648876
688	0.6164415776
689	0.6164368554
690	0.6157931261
691	0.615358135
692	0.6148644153
693	0.6143585337
694	0.6130939912
695	0.6125712211
696	0.6118231299
697	0.611727449
698	0.6114436246
699	0.6111752292
700	0.6104707791
701	0.6100976207
702	0.609213656
703	0.6086289801
704	0.608189858
705	0.6077983498
706	0.6071132732
707	0.6065426638
708	0.6065294111
709	0.6062328191
710	0.6049376978
711	0.604389754
712	0.6037355284
713	0.6024978557
714	0.6016816719
715	0.6010892236
716	0.6005737408
717	0.6000084682
718	0.5993926622
719	0.5987302484
720	0.5981045391
721	0.5979296702
722	0.5975719158
723	0.5970618896
724	0.5969870733
725	0.5960205161
726	0.5952618204
727	0.5942890713
728	0.5940700353
729	0.5939982012
730	0.5933045916
731	0.592631355
732	0.5921648628
733	0.5912504687
734	0.5904533694
735	0.5900598773
736	0.5896991526
737	0.5895707413
738	0.588912224
739	0.5884291335
740	0.5881783623
741	0.5877125954
742	0.5870811851
743	0.586659753
744	0.5862319014
745	0.5858434431
746	0.585264497
747	0.5850554696
748	0.5843895613
749	0.5842772534
750	0.5839158089
751	0.5836014343
752	0.5828678443
753	0.582667674
754	0.5823628859
755	0.5814222035
756	0.5810211223
757	0.5806786489
758	0.5804126729
759	0.5797039315
760	0.5794689749
761	0.5790078208
762	0.5784257979
763	0.5778316946
764	0.5772545025
765	0.5767922366
766	0.5762774168
767	0.5760052929
768	0.5755299748
769	0.5754311183
770	0.5751210516
771	0.5750376892
772	0.5747095374
773	0.5741395157
774	0.5737979574
775	0.5733013951
776	0.5725084939
777	0.5722641955
778	0.5720904852
779	0.5717143662
780	0.5715787188
781	0.5713145503
782	0.5705269586
783	0.5701235042
784	0.5694487415
785	0.568938103
786	0.5687331152
787	0.5679782439
788	0.5679106841
789	0.5678423189
790	0.5674905257
791	0.5669979647
792	0.5665997875
793	0.5658750262
794	0.5655899457
795	0.564730244
796	0.5643559597
797	0.5641205481
798	0.5636733871
799	0.5630082508
800	0.5625165463
801	0.5618804569
802	0.5616432882
803	0.5611789479
804	0.5603945899
805	0.560332127
806	0.5603260269
807	0.5596413031
808	0.5590381928
809	0.5583673997
810	0.5577929242
811	0.5572093274
812	0.5568250207
813	0.5565592293
814	0.5563402952
815	0.5557524746
816	0.5549822144
817	0.5546237847
818	0.5543879871
819	0.5535430389
820	0.5531464399
821	0.5529387746
822	0.5525581664
823	0.5519426696
824	0.5516463503
825	0.5510742335
826	0.5504755156
827	0.5497975589
828	0.5493371893
829	0.5493319875
830	0.5486167413
831	0.5482761052
832	0.5475982863
833	0.5473474234
834	0.5470374826
835	0.5467467946
836	0.5461342733
837	0.5457143762
838	0.5453374992
839	0.5450391798
840	0.5443435112
841	0.5437752779
842	0.5435744948
843	0.5431279671
844	0.5425395784
845	0.5414057542
846	0.5408492195
847	0.5403093323
848	0.5400387655
849	0.5394721296
850	0.5389050654
851	0.5386123601
852	0.5383364956
853	0.5380107848
854	0.537608776
855	0.5370392213
856	0.5366811775
857	0.5358000959
858	0.5354234184
859	0.5353706734
860	0.5347284322
861	0.534664172
862	0.5340382662
863	0.5337334351
864	0.5330685391
865	0.5327312194
866	0.5325862904
867	0.5323181265
868	0.5318744967
869	0.531687826
870	0.5313495619
871	0.5311576788
872	0.5309792989
873	0.530846608
874	0.5305183379
875	0.5304144076
876	0.5299609656
877	0.5294459967
878	0.5288746875
879	0.5285885706
880	0.5281222698
881	0.527920308
882	0.5272929785
883	0.5270908507
884	0.5268463114
885	0.5265751094
886	0.5262309031
887	0.5254934894
888	0.5247303832
889	0.5243243952
890	0.5240645664
891	0.523667719
892	0.5236663179
893	0.5229289054
894	0.522276648
895	0.5217770787
896	0.5213955513
897	0.5207691398
898	0.520647617
899	0.5203625488
900	0.5201751791
901	0.5192550273
902	0.5183602119
903	0.5181177362
904	0.5176487404
905	0.5172705574
906	0.5172006095
907	0.5169351661
908	0.5168436988
909	0.516567281
910	0.5162136959
911	0.5159296049
912	0.5156541192
913	0.5151541815
914	0.515083983
915	0.5150201106
916	0.5149356407
917	0.5146549698
918	0.5143930954
919	0.5136658545
920	0.5134032967
921	0.5130972127
922	0.5128037442
923	0.5123080474
924	0.512112476
925	0.5115950824
926	0.5112043692
927	0.5111128676
928	0.510713641
929	0.5107030853
930	0.5105511597
931	0.5101610164
932	0.5099209576
933	0.5097269625
934	0.5091836147
935	0.509179261
936	0.5090565175
937	0.5084613408
938	0.5078444629
939	0.5073068231
940	0.5069629626
941	0.5067524118
942	0.5065929076
943	0.5061942232
944	0.5052121213
945	0.5046532425
946	0.5043686981
947	0.5039967664
948	0.5035213828
949	0.5032046137
950	0.5025817012
951	0.5021330578
952	0.5020724611
953	0.5018421027
954	0.5016155791
955	0.501125428
956	0.5010122588
957	0.5005683775
958	0.500165255
959	0.4995915527
960	0.4992061136
961	0.4988468765
962	0.4984111314
963	0.4980884497
964	0.4977362156
965	0.4973380761
966	0.4970338847
967	0.4967687309
968	0.4962899905
969	0.4962336618
970	0.4961202072
971	0.4959518815
972	0.495881512
973	0.4955250925
974	0.4951060302
975	0.4945976307
976	0.4943698024
977	0.4940911609
978	0.4938560362
979	0.4934695276
980	0.4930973528
981	0.4926707455
982	0.492223628
983	0.4921859795
984	0.4916728002
985	0.4915236055
986	0.4912897157
987	0.4909437414
988	0.490588739
989	0.4903555729
990	0.48971477
991	0.4895221764
992	0.4893223249
993	0.4888292075
994	0.4885249174
995	0.4882358394
996	0.4876913187
997	0.4869677635
998	0.4867048477
999	0.4863302502
