trip_id,personal_mae,personal_rmse,personal_mbe,personal_stddev,personal_count,global_mae,global_rmse,global_mbe,global_stddev,global_count,segment_count,avg_gt_soc_delta,mae_improvement
0df02251-81d9-526a-9f78-50b407209f88,0.3411,0.3932,-0.0042,0.4541,4.0,0.232,0.3177,-0.137,0.331,4.0,4.0,0.525,-0.1091
0e207e8b-7679-5ac8-bb58-376f3169ed82,0.8992,1.0769,0.0354,1.2428,4.0,0.6313,0.8769,0.3087,0.9478,4.0,4.0,5.375,-0.2679
0eefa116-3767-5dde-aa68-e7de703b178c,0.5254,0.5322,-0.0002,0.6146,4.0,0.4775,0.6038,-0.4775,0.4269,4.0,4.0,3.375,-0.048
0fb0a7c7-bce4-5dc7-8079-3c8de3e90d5c,1.2012,1.2578,-0.0797,1.4495,4.0,0.8142,1.0582,-0.6039,1.0033,4.0,4.0,2.775,-0.3869
0fd62b7c-60ae-54d5-97bd-5c0f25734f8f,1.6758,1.9293,-0.3917,2.1814,4.0,1.6086,1.6856,0.8716,1.6659,4.0,4.0,11.025,-0.0672
105578ee-165d-5129-aef4-35dcd4e5ba58,1.3247,1.5999,-0.1179,1.7234,7.0,1.1865,1.7525,-1.0869,1.4849,7.0,7.0,2.1857,-0.1382
10fe5f80-1fd2-5d6e-b85c-2577ced4145d,0.3417,0.3737,0.035,0.4075,6.0,0.3118,0.3765,0.2096,0.3427,6.0,6.0,1.9,-0.0299
11212524-dd4d-5aa3-995c-a7741b8d5d84,0.6268,0.7221,0.0918,0.827,4.0,0.5418,0.6248,0.2211,0.6748,4.0,4.0,4.7,-0.0849
114822e9-f72e-5e80-b6b7-a985f7298a34,0.8805,0.9124,-0.1415,1.0408,4.0,0.7375,0.7982,0.2786,0.8637,4.0,4.0,3.825,-0.143
11af4e3a-fc5e-552e-a58a-0ed7b02d84b9,0.743,0.8508,-0.0841,0.9776,4.0,0.5539,0.6353,-0.0398,0.7321,4.0,4.0,1.1,-0.1891
122285a4-f980-53dc-b70c-a32f6cda25b7,0.6806,0.7858,0.083,0.8736,5.0,0.5084,0.7361,-0.4143,0.6803,5.0,5.0,2.94,-0.1722
12440af1-34b3-5877-ab54-0d402552a10a,1.0369,1.2336,0.0168,1.4243,4.0,0.8396,1.2396,-0.8396,1.0531,4.0,4.0,1.4,-0.1974
127f496c-ead3-53a9-98d9-98e843035ea3,1.133,1.2421,-0.1448,1.4245,4.0,0.8699,0.9777,-0.1049,1.1225,4.0,4.0,2.425,-0.2631
137055d0-fe69-5fe2-a0d3-da2373d63b43,1.0109,1.5381,-0.1289,1.6256,9.0,1.0134,1.6223,-0.7692,1.515,9.0,9.0,1.7333,0.0025
14092798-5a38-57e4-86fd-9ee08e86b63a,0.5392,0.6229,-0.0049,0.6964,5.0,0.4478,0.6076,0.3398,0.5631,5.0,5.0,3.42,-0.0915
1486a943-46cb-5b24-8459-ea6e28949b57,0.8149,0.8338,-0.1033,0.9553,4.0,0.7435,0.9353,0.6883,0.7312,4.0,4.0,5.85,-0.0714
