Model,MAE,RMSE,MBE,Predictions
LinearRegression,0.8348003711420477,1.147102656636783,0.022437182831626445,750
Ridge,0.8345910668771758,1.1469355821574716,0.022349577149460283,750
RandomForest,0.8183085266965977,1.1319949916542833,0.01875763869779764,750
CatBoost,0.8233660799770272,1.1405615964054574,0.05171169230868429,750
