Model,MAE,RMSE,MBE,Predictions
LinearRegression,1.6713982274244115,3.5871500085390133,0.19261352077093902,1814
Ridge,1.5557607993804061,3.3214371569223116,0.1709819233298868,1814
RandomForest,0.8665494284068228,1.2681174001548754,0.0056761843491830305,1814
CatBoost,0.7324363111253053,1.1404921663700207,0.01089455338662229,1814
